Age,Gender,Occupation,Annual_Income_USD,Marital_Status,Has_Children,Hotel_Stay_Frequency,Preferred_Hotel_Type,Typical_Length_of_Stay,Stay_Reason,Comfort_With_Smart_Features,WiFi_Importance,Mobile_Checkin_Usage,Allow_Data_For_Personalization,Valued_Aspects,Smart_Features_Desired,Common_Challenges,Average_Spend_Per_Night,Willingness_To_Pay_Extra,Would_Recommend_AI_Hotel,AI_Preference_Score,Willing_To_Stay_At_IntelliStay,Willing_To_Share_Preferences
43,Female,Working Professional,4412,Single,No,6–10,Airbnb,2–3 nights,Other,No,Very Important,Sometimes,Yes,Ambience,"Mood Music, Smart Mirror","Lack of personalization, Other, Noisy rooms",136,$10–$20,No,6,Yes,Yes
34,Female,Other,34401,Divorced,Yes,More than 10,Airbnb,4–6 nights,Business,No,Very Important,Sometimes,Yes,Food Quality,"Mood Music, AI Concierge, Smart Lighting","Long check-in times, Poor Wi-Fi, Noisy rooms",123,< $5,Yes,9,Yes,Yes
49,Female,Working Professional,210638,Divorced,No,6–10,Airbnb,2–3 nights,Transit,No,Somewhat Important,Always,Yes,"Cleanliness, Technology, Privacy","Smart Mirror, AI Concierge, Smart Lighting","Lack of personalization, Noisy rooms",94,$5–$10,No,6,Yes,Yes
35,Male,Other,5054,Married,No,6–10,Airbnb,2–3 nights,Event,Yes,Somewhat Important,Sometimes,Yes,"Staff Friendliness, Privacy, Ambience","Personalized Room Temperature, Smart Lighting","Lack of personalization, Noisy rooms, Other",161,$5–$10,Yes,5,Yes,Yes
26,Female,Other,157633,Single,Yes,3–5,Business,7+ nights,Other,Yes,Very Important,Always,Yes,"Privacy, Ambience, Food Quality","Smart Lighting, Smart Mirror","Noisy rooms, Lack of personalization, Long check-in times",106,$10–$20,Yes,10,Yes,Yes
50,Male,Entrepreneur,9667,Single,Yes,6–10,Boutique,4–6 nights,Event,No,Very Important,Never,Yes,"Food Quality, Ambience",AI Concierge,Lack of personalization,130,$10–$20,Yes,7,No,Yes
40,Female,Other,2784,Widowed,No,3–5,Budget,2–3 nights,Business,Yes,Very Important,Sometimes,No,Cleanliness,Mood Music,"Long check-in times, Lack of personalization",63,$10–$20,No,7,No,Yes
24,Female,Working Professional,36139,Single,No,3–5,Boutique,2–3 nights,Business,Yes,Somewhat Important,Always,No,"Staff Friendliness, Technology, Ambience","Smart Mirror, Smart Lighting",Noisy rooms,117,< $5,Yes,7,Yes,Yes
33,Female,Working Professional,53708,Single,No,3–5,Boutique,2–3 nights,Leisure,Yes,Very Important,Never,Yes,"Ambience, Privacy",Personalized Room Temperature,"Noisy rooms, Lack of personalization, Long check-in times",128,$10–$20,Yes,5,Yes,No
26,Male,Working Professional,1319,Single,No,3–5,Luxury,2–3 nights,Other,Yes,Very Important,Always,No,"Food Quality, Staff Friendliness, Cleanliness",AI Concierge,"Noisy rooms, Other",146,$5–$10,Yes,6,Yes,Yes
21,Male,Working Professional,43001,Single,No,1–2,Airbnb,2–3 nights,Leisure,No,Somewhat Important,Sometimes,Yes,"Ambience, Technology, Cleanliness","Mood Music, AI Concierge, Smart Mirror",Poor Wi-Fi,136,$5–$10,Yes,10,Yes,Yes
44,Female,Student,30396,Single,Yes,More than 10,Airbnb,2–3 nights,Event,Yes,Very Important,Sometimes,Yes,Privacy,"Smart Mirror, AI Concierge","Lack of personalization, Long check-in times",103,$5–$10,No,10,No,Yes
54,Male,Working Professional,4359,Married,No,3–5,Airbnb,4–6 nights,Transit,Yes,Very Important,Always,Yes,"Food Quality, Ambience","Smart Mirror, Personalized Room Temperature, AI Concierge","Noisy rooms, Other, Lack of personalization",134,$10–$20,Yes,5,Yes,Yes
21,Male,Other,7575,Single,No,1–2,Luxury,1 night,Leisure,No,Very Important,Never,Yes,"Cleanliness, Ambience","Smart Lighting, Mood Music, AI Concierge","Other, Lack of personalization, Long check-in times",169,$10–$20,No,6,Yes,Yes
40,Male,Working Professional,33570,Married,Yes,3–5,Business,2–3 nights,Business,Yes,Very Important,Sometimes,Yes,Technology,"AI Concierge, Personalized Room Temperature",Poor Wi-Fi,45,$5–$10,Yes,7,Yes,Yes
28,Prefer not to say,Entrepreneur,14059,Single,Yes,1–2,Business,1 night,Other,Yes,Very Important,Always,No,"Staff Friendliness, Ambience","Smart Mirror, Smart Lighting","Long check-in times, Other",111,$20+,Yes,7,Yes,Yes
30,Female,Retired,111429,Single,Yes,1–2,Budget,2–3 nights,Event,Yes,Very Important,Sometimes,No,"Staff Friendliness, Privacy, Ambience","AI Concierge, Mood Music, Smart Mirror","Other, Lack of personalization",130,< $5,Yes,5,Yes,No
29,Male,Retired,68312,Divorced,Yes,1–2,Business,1 night,Business,No,Somewhat Important,Sometimes,Yes,"Food Quality, Cleanliness, Staff Friendliness","AI Concierge, Smart Lighting, Mood Music","Lack of personalization, Poor Wi-Fi, Noisy rooms",73,$5–$10,Yes,8,Yes,No
26,Male,Other,164339,Single,No,3–5,Business,2–3 nights,Transit,No,Somewhat Important,Never,No,Staff Friendliness,"Personalized Room Temperature, Mood Music, AI Concierge",Poor Wi-Fi,166,$5–$10,No,8,Yes,No
35,Male,Working Professional,12026,Married,Yes,3–5,Airbnb,4–6 nights,Other,No,Very Important,Sometimes,Yes,"Privacy, Food Quality, Cleanliness","AI Concierge, Smart Lighting, Personalized Room Temperature",Poor Wi-Fi,149,$20+,Yes,9,No,Yes
26,Female,Other,139895,Married,Yes,6–10,Boutique,4–6 nights,Transit,No,Very Important,Sometimes,Yes,"Technology, Ambience",Smart Mirror,"Poor Wi-Fi, Noisy rooms, Lack of personalization",169,< $5,Yes,9,Yes,Yes
37,Female,Entrepreneur,22571,Single,Yes,6–10,Business,2–3 nights,Transit,Yes,Very Important,Sometimes,Yes,Ambience,Mood Music,"Lack of personalization, Long check-in times",227,$5–$10,Yes,7,No,Yes
34,Male,Working Professional,17078,Widowed,No,3–5,Business,2–3 nights,Other,No,Very Important,Sometimes,Yes,Ambience,Smart Mirror,"Lack of personalization, Long check-in times",136,$20+,No,9,No,No
32,Male,Working Professional,2066,Single,No,3–5,Luxury,2–3 nights,Other,No,Somewhat Important,Sometimes,Yes,"Cleanliness, Ambience","Smart Lighting, AI Concierge","Noisy rooms, Long check-in times",105,$20+,Yes,8,No,No
25,Male,Entrepreneur,2168,Divorced,No,3–5,Budget,4–6 nights,Transit,Yes,Very Important,Always,Yes,Technology,"Personalized Room Temperature, AI Concierge","Poor Wi-Fi, Noisy rooms, Other",166,$20+,Yes,4,Yes,No
29,Female,Working Professional,47107,Single,Yes,6–10,Luxury,4–6 nights,Event,Yes,Not Important,Sometimes,Yes,Cleanliness,AI Concierge,"Other, Long check-in times, Noisy rooms",90,$5–$10,Yes,4,Yes,No
42,Female,Working Professional,24494,Divorced,No,1–2,Airbnb,2–3 nights,Other,No,Very Important,Sometimes,Yes,"Cleanliness, Food Quality","Personalized Room Temperature, Smart Mirror, Smart Lighting","Noisy rooms, Lack of personalization",143,$10–$20,Yes,8,Yes,Yes
40,Male,Working Professional,10274,Single,No,1–2,Boutique,2–3 nights,Business,No,Very Important,Never,Yes,"Food Quality, Technology","Smart Lighting, Smart Mirror","Other, Long check-in times",171,$5–$10,Yes,10,No,Yes
25,Male,Working Professional,38073,Married,Yes,6–10,Budget,4–6 nights,Leisure,No,Very Important,Always,Yes,Staff Friendliness,"Personalized Room Temperature, Smart Lighting",Other,161,$10–$20,Yes,8,No,No
35,Male,Working Professional,11660,Married,Yes,3–5,Luxury,1 night,Event,No,Not Important,Sometimes,Yes,Ambience,Smart Mirror,Lack of personalization,190,< $5,Yes,8,Yes,Yes
42,Prefer not to say,Entrepreneur,34475,Divorced,Yes,1–2,Business,2–3 nights,Other,Yes,Somewhat Important,Never,Yes,Cleanliness,"AI Concierge, Personalized Room Temperature","Noisy rooms, Long check-in times",106,$10–$20,Yes,5,Yes,No
18,Male,Working Professional,17802,Divorced,Yes,1–2,Business,7+ nights,Other,Yes,Very Important,Sometimes,Yes,Cleanliness,"AI Concierge, Mood Music, Personalized Room Temperature",Lack of personalization,155,$5–$10,Yes,7,Yes,No
40,Female,Student,69389,Married,No,More than 10,Budget,4–6 nights,Event,Yes,Very Important,Never,No,"Technology, Staff Friendliness","Personalized Room Temperature, Smart Mirror","Lack of personalization, Other",124,$5–$10,No,9,Yes,Yes
28,Female,Student,68746,Divorced,No,6–10,Business,2–3 nights,Leisure,Yes,Very Important,Never,Yes,"Ambience, Technology",Mood Music,"Other, Long check-in times",132,$10–$20,Yes,8,No,Yes
40,Male,Working Professional,25953,Single,No,6–10,Luxury,2–3 nights,Transit,No,Somewhat Important,Sometimes,Yes,"Cleanliness, Technology","Smart Mirror, Personalized Room Temperature, AI Concierge","Long check-in times, Poor Wi-Fi",132,< $5,Yes,7,No,Yes
27,Male,Retired,17281,Single,No,3–5,Luxury,2–3 nights,Business,Yes,Very Important,Sometimes,Yes,"Technology, Privacy","Smart Lighting, Personalized Room Temperature, AI Concierge","Noisy rooms, Poor Wi-Fi, Long check-in times",146,< $5,Yes,8,Yes,Yes
16,Male,Working Professional,18011,Single,No,3–5,Business,2–3 nights,Other,Yes,Very Important,Always,Yes,Food Quality,"Personalized Room Temperature, Mood Music, Smart Lighting","Long check-in times, Poor Wi-Fi, Other",118,$5–$10,Yes,7,Yes,Yes
18,Female,Working Professional,65537,Single,No,More than 10,Business,2–3 nights,Leisure,Yes,Somewhat Important,Sometimes,Yes,Food Quality,AI Concierge,"Lack of personalization, Other",48,$10–$20,No,9,Yes,Yes
35,Female,Working Professional,15910,Single,No,More than 10,Airbnb,2–3 nights,Business,Yes,Very Important,Always,Yes,"Cleanliness, Staff Friendliness, Privacy",Smart Mirror,Noisy rooms,127,< $5,Yes,7,Yes,Yes
37,Female,Working Professional,9381,Married,Yes,1–2,Boutique,4–6 nights,Event,Yes,Somewhat Important,Sometimes,No,Ambience,Mood Music,Long check-in times,138,$10–$20,Yes,7,No,Yes
25,Female,Entrepreneur,3539,Single,Yes,6–10,Budget,4–6 nights,Other,Yes,Very Important,Sometimes,Yes,"Staff Friendliness, Ambience, Cleanliness","Smart Mirror, Smart Lighting, Personalized Room Temperature","Lack of personalization, Poor Wi-Fi",117,$10–$20,Yes,5,No,No
41,Male,Entrepreneur,25146,Married,No,1–2,Luxury,1 night,Transit,Yes,Very Important,Sometimes,Yes,Food Quality,Smart Mirror,"Long check-in times, Other, Noisy rooms",141,$10–$20,Yes,9,Yes,Yes
18,Prefer not to say,Student,26321,Single,Yes,1–2,Budget,2–3 nights,Event,Yes,Very Important,Always,Yes,"Cleanliness, Ambience, Staff Friendliness","Mood Music, AI Concierge, Smart Mirror","Long check-in times, Noisy rooms, Other",113,$5–$10,Yes,5,Yes,No
34,Female,Working Professional,73531,Single,Yes,3–5,Airbnb,2–3 nights,Other,No,Very Important,Never,Yes,"Technology, Staff Friendliness, Privacy",Smart Lighting,"Poor Wi-Fi, Lack of personalization, Other",106,$10–$20,Yes,7,Yes,Yes
22,Male,Student,10002,Married,No,3–5,Luxury,2–3 nights,Leisure,Yes,Very Important,Always,Yes,Technology,"AI Concierge, Smart Mirror, Mood Music","Lack of personalization, Noisy rooms, Other",189,< $5,Yes,9,No,Yes
28,Prefer not to say,Working Professional,19185,Married,No,More than 10,Airbnb,2–3 nights,Business,Yes,Somewhat Important,Always,Yes,"Staff Friendliness, Food Quality, Cleanliness","Smart Mirror, Mood Music",Poor Wi-Fi,232,$5–$10,Yes,10,Yes,Yes
35,Female,Working Professional,66095,Married,No,1–2,Airbnb,2–3 nights,Business,Yes,Very Important,Always,No,"Cleanliness, Technology, Privacy",Smart Lighting,"Other, Long check-in times",163,$10–$20,Yes,7,Yes,Yes
26,Female,Working Professional,69405,Married,No,3–5,Business,4–6 nights,Other,Yes,Very Important,Never,Yes,"Technology, Food Quality","Mood Music, Smart Mirror","Lack of personalization, Other",91,$20+,Yes,10,Yes,Yes
31,Female,Working Professional,19420,Single,No,More than 10,Budget,2–3 nights,Event,Yes,Somewhat Important,Never,No,"Staff Friendliness, Ambience, Technology","Mood Music, Personalized Room Temperature","Noisy rooms, Other, Poor Wi-Fi",131,< $5,No,7,No,Yes
45,Female,Working Professional,24582,Married,No,More than 10,Budget,7+ nights,Transit,No,Somewhat Important,Sometimes,Yes,Cleanliness,"AI Concierge, Smart Mirror","Long check-in times, Lack of personalization",127,$5–$10,Yes,6,Yes,Yes
29,Female,Retired,14455,Single,No,1–2,Business,7+ nights,Leisure,No,Very Important,Never,Yes,"Technology, Food Quality",Mood Music,"Noisy rooms, Lack of personalization",153,$20+,Yes,10,Yes,Yes
43,Male,Other,107857,Single,No,3–5,Budget,1 night,Other,Yes,Not Important,Always,Yes,Technology,"Smart Mirror, AI Concierge",Poor Wi-Fi,129,$20+,Yes,5,Yes,Yes
23,Male,Student,5051,Married,No,3–5,Business,2–3 nights,Leisure,Yes,Not Important,Never,Yes,Staff Friendliness,"Mood Music, Smart Lighting, Personalized Room Temperature","Noisy rooms, Poor Wi-Fi, Long check-in times",150,< $5,Yes,10,Yes,Yes
40,Non-Binary,Entrepreneur,108572,Single,No,1–2,Luxury,7+ nights,Business,No,Very Important,Always,No,"Cleanliness, Food Quality",AI Concierge,"Poor Wi-Fi, Other, Long check-in times",209,$5–$10,Yes,10,No,Yes
49,Male,Working Professional,46063,Single,No,More than 10,Airbnb,7+ nights,Transit,No,Somewhat Important,Always,Yes,"Cleanliness, Staff Friendliness","AI Concierge, Smart Mirror",Long check-in times,30,< $5,Yes,6,Yes,No
10,Male,Working Professional,30334,Widowed,No,More than 10,Airbnb,1 night,Leisure,Yes,Very Important,Always,Yes,Cleanliness,"Personalized Room Temperature, Mood Music",Long check-in times,94,$10–$20,Yes,8,Yes,No
27,Male,Entrepreneur,1328,Widowed,Yes,1–2,Budget,1 night,Other,Yes,Somewhat Important,Sometimes,No,"Staff Friendliness, Privacy","Personalized Room Temperature, Smart Mirror",Other,167,$5–$10,Yes,4,Yes,Yes
40,Male,Retired,25819,Single,Yes,1–2,Boutique,1 night,Transit,Yes,Very Important,Sometimes,No,Privacy,Mood Music,Lack of personalization,117,$10–$20,Yes,8,Yes,Yes
32,Female,Other,20952,Single,Yes,1–2,Airbnb,7+ nights,Event,Yes,Very Important,Sometimes,No,"Technology, Privacy, Cleanliness","AI Concierge, Mood Music","Other, Long check-in times",149,$20+,No,8,No,Yes
38,Non-Binary,Working Professional,7032,Single,No,More than 10,Business,1 night,Other,Yes,Very Important,Never,No,"Ambience, Technology, Privacy",Mood Music,"Noisy rooms, Long check-in times, Other",110,$20+,Yes,9,Yes,Yes
28,Male,Working Professional,42732,Single,Yes,1–2,Boutique,2–3 nights,Leisure,Yes,Somewhat Important,Sometimes,Yes,"Ambience, Privacy",Smart Mirror,Noisy rooms,198,$20+,No,6,No,Yes
35,Male,Entrepreneur,141827,Divorced,Yes,3–5,Boutique,4–6 nights,Transit,Yes,Very Important,Always,No,Staff Friendliness,"Smart Mirror, AI Concierge","Noisy rooms, Long check-in times",178,< $5,Yes,7,Yes,Yes
33,Male,Working Professional,33038,Single,No,3–5,Airbnb,1 night,Other,Yes,Very Important,Sometimes,Yes,"Ambience, Cleanliness, Technology","Mood Music, Smart Lighting, Smart Mirror","Other, Noisy rooms, Long check-in times",134,< $5,Yes,8,Yes,Yes
46,Female,Working Professional,50176,Married,Yes,3–5,Airbnb,2–3 nights,Transit,No,Very Important,Sometimes,No,"Cleanliness, Food Quality, Privacy",AI Concierge,Lack of personalization,203,$10–$20,Yes,6,Yes,No
37,Female,Working Professional,2836,Single,No,1–2,Airbnb,2–3 nights,Transit,No,Somewhat Important,Never,No,"Food Quality, Privacy","Smart Mirror, Smart Lighting, AI Concierge","Long check-in times, Lack of personalization",135,$5–$10,No,10,Yes,No
38,Male,Working Professional,21628,Widowed,Yes,1–2,Business,4–6 nights,Transit,Yes,Somewhat Important,Sometimes,Yes,"Staff Friendliness, Technology, Ambience","Personalized Room Temperature, AI Concierge, Smart Mirror","Long check-in times, Lack of personalization",123,< $5,Yes,7,Yes,No
30,Female,Working Professional,4948,Single,No,More than 10,Boutique,2–3 nights,Leisure,No,Very Important,Sometimes,No,Privacy,Personalized Room Temperature,"Noisy rooms, Long check-in times",193,$5–$10,No,8,Yes,Yes
30,Female,Working Professional,37952,Married,No,More than 10,Budget,2–3 nights,Other,Yes,Not Important,Always,Yes,"Technology, Cleanliness, Food Quality","Smart Lighting, Mood Music",Long check-in times,50,$20+,Yes,5,Yes,No
30,Female,Retired,111537,Single,No,6–10,Business,2–3 nights,Business,No,Very Important,Sometimes,Yes,"Cleanliness, Privacy, Technology","AI Concierge, Smart Lighting, Mood Music","Poor Wi-Fi, Lack of personalization",128,$20+,Yes,4,No,Yes
38,Non-Binary,Working Professional,43362,Married,No,1–2,Luxury,2–3 nights,Business,Yes,Somewhat Important,Never,Yes,"Cleanliness, Ambience, Staff Friendliness","Mood Music, Personalized Room Temperature, Smart Mirror",Noisy rooms,137,< $5,No,4,Yes,No
30,Male,Working Professional,3196,Single,No,3–5,Airbnb,1 night,Leisure,Yes,Very Important,Always,No,"Technology, Staff Friendliness, Cleanliness","Smart Mirror, Personalized Room Temperature","Noisy rooms, Poor Wi-Fi, Other",108,$5–$10,No,8,Yes,Yes
37,Female,Working Professional,17519,Single,Yes,3–5,Boutique,2–3 nights,Leisure,Yes,Very Important,Never,Yes,"Cleanliness, Food Quality, Technology",AI Concierge,Poor Wi-Fi,82,$5–$10,Yes,5,No,Yes
55,Female,Student,31999,Divorced,Yes,1–2,Business,2–3 nights,Transit,Yes,Very Important,Sometimes,Yes,"Privacy, Ambience, Staff Friendliness",AI Concierge,"Poor Wi-Fi, Long check-in times, Lack of personalization",116,$20+,No,8,No,Yes
43,Female,Student,20647,Divorced,Yes,More than 10,Luxury,4–6 nights,Other,No,Very Important,Always,Yes,Cleanliness,"Personalized Room Temperature, Smart Lighting","Noisy rooms, Other, Poor Wi-Fi",44,$5–$10,Yes,10,Yes,Yes
31,Female,Working Professional,71745,Divorced,No,3–5,Business,4–6 nights,Other,Yes,Very Important,Never,No,"Cleanliness, Technology, Ambience","Smart Mirror, Mood Music, Smart Lighting","Long check-in times, Noisy rooms",197,$20+,No,9,Yes,Yes
47,Female,Retired,67424,Married,No,1–2,Business,2–3 nights,Event,Yes,Very Important,Sometimes,Yes,Ambience,Personalized Room Temperature,Other,200,$10–$20,No,8,Yes,Yes
30,Female,Working Professional,37852,Married,No,More than 10,Budget,2–3 nights,Event,Yes,Very Important,Sometimes,No,"Staff Friendliness, Technology, Cleanliness",AI Concierge,"Noisy rooms, Other",123,$20+,No,8,No,Yes
14,Male,Other,18701,Single,Yes,More than 10,Budget,2–3 nights,Business,Yes,Very Important,Always,No,"Technology, Ambience","AI Concierge, Smart Lighting",Noisy rooms,104,$10–$20,No,9,Yes,Yes
24,Female,Working Professional,11792,Single,No,1–2,Business,4–6 nights,Event,Yes,Very Important,Always,Yes,Technology,Mood Music,"Lack of personalization, Other, Long check-in times",46,$20+,Yes,8,No,No
16,Prefer not to say,Working Professional,4476,Single,No,3–5,Luxury,2–3 nights,Event,Yes,Somewhat Important,Never,Yes,Ambience,Smart Mirror,"Noisy rooms, Long check-in times, Poor Wi-Fi",87,$10–$20,Yes,8,Yes,No
31,Non-Binary,Working Professional,17533,Married,No,3–5,Boutique,2–3 nights,Business,No,Very Important,Sometimes,Yes,"Staff Friendliness, Cleanliness, Food Quality",Personalized Room Temperature,"Noisy rooms, Long check-in times",194,$5–$10,Yes,6,Yes,Yes
35,Male,Working Professional,21320,Single,No,3–5,Boutique,2–3 nights,Business,No,Somewhat Important,Never,No,"Ambience, Food Quality","Smart Mirror, Mood Music, Personalized Room Temperature","Noisy rooms, Poor Wi-Fi",120,< $5,Yes,5,Yes,No
51,Male,Entrepreneur,45058,Single,Yes,1–2,Airbnb,2–3 nights,Event,No,Very Important,Always,No,"Privacy, Staff Friendliness, Food Quality","Personalized Room Temperature, Mood Music, Smart Mirror","Noisy rooms, Other, Lack of personalization",94,$20+,Yes,6,Yes,Yes
38,Male,Working Professional,42936,Married,No,3–5,Airbnb,2–3 nights,Other,Yes,Very Important,Always,Yes,Ambience,Smart Mirror,"Noisy rooms, Lack of personalization, Long check-in times",122,< $5,Yes,6,Yes,No
32,Female,Working Professional,2907,Married,No,More than 10,Boutique,2–3 nights,Event,No,Very Important,Always,No,Technology,Smart Lighting,"Lack of personalization, Poor Wi-Fi",93,$5–$10,Yes,6,Yes,Yes
43,Female,Retired,20118,Single,Yes,3–5,Business,1 night,Transit,Yes,Very Important,Sometimes,Yes,Technology,Smart Lighting,"Poor Wi-Fi, Other, Lack of personalization",41,$10–$20,Yes,9,Yes,Yes
12,Male,Retired,8024,Single,Yes,1–2,Business,4–6 nights,Transit,Yes,Very Important,Never,Yes,"Privacy, Cleanliness, Food Quality","Smart Lighting, Smart Mirror, Mood Music","Long check-in times, Noisy rooms",104,$10–$20,No,2,Yes,No
37,Female,Retired,6822,Single,No,3–5,Budget,2–3 nights,Transit,Yes,Not Important,Sometimes,No,Cleanliness,"Mood Music, Smart Mirror","Lack of personalization, Other, Poor Wi-Fi",67,< $5,Yes,7,Yes,Yes
42,Female,Working Professional,70248,Single,No,3–5,Budget,1 night,Leisure,No,Very Important,Sometimes,Yes,"Cleanliness, Ambience, Staff Friendliness","Personalized Room Temperature, Mood Music, Smart Mirror",Poor Wi-Fi,141,$5–$10,Yes,8,Yes,Yes
20,Female,Entrepreneur,1712,Single,No,6–10,Airbnb,2–3 nights,Transit,No,Somewhat Important,Never,No,"Staff Friendliness, Technology, Privacy","Mood Music, Smart Mirror","Long check-in times, Noisy rooms, Other",166,$5–$10,Yes,8,Yes,Yes
46,Female,Working Professional,21732,Married,Yes,3–5,Boutique,2–3 nights,Other,No,Very Important,Sometimes,Yes,"Cleanliness, Food Quality","Smart Mirror, Mood Music",Long check-in times,84,$5–$10,Yes,5,Yes,Yes
38,Female,Working Professional,7366,Married,No,1–2,Business,2–3 nights,Leisure,No,Not Important,Always,No,"Cleanliness, Food Quality, Ambience",Smart Mirror,"Noisy rooms, Lack of personalization",129,$20+,Yes,10,Yes,Yes
30,Female,Working Professional,84587,Married,No,1–2,Boutique,2–3 nights,Leisure,No,Somewhat Important,Never,Yes,Ambience,Personalized Room Temperature,"Other, Lack of personalization",119,$10–$20,Yes,4,Yes,Yes
41,Male,Working Professional,32571,Single,No,6–10,Luxury,2–3 nights,Transit,No,Very Important,Sometimes,Yes,Staff Friendliness,"AI Concierge, Smart Lighting, Smart Mirror","Lack of personalization, Long check-in times",83,$20+,Yes,6,No,No
57,Female,Working Professional,10526,Married,No,1–2,Boutique,2–3 nights,Event,Yes,Somewhat Important,Always,No,"Cleanliness, Staff Friendliness",AI Concierge,Lack of personalization,30,< $5,Yes,6,Yes,No
36,Female,Working Professional,27920,Single,Yes,6–10,Luxury,2–3 nights,Business,Yes,Very Important,Always,Yes,Privacy,Smart Lighting,Noisy rooms,68,$5–$10,Yes,6,Yes,Yes
37,Female,Retired,52594,Married,No,1–2,Budget,1 night,Event,Yes,Somewhat Important,Sometimes,Yes,"Ambience, Food Quality, Privacy",Personalized Room Temperature,Other,81,$10–$20,Yes,10,Yes,Yes
30,Female,Working Professional,126915,Married,Yes,3–5,Budget,4–6 nights,Event,Yes,Very Important,Sometimes,No,"Cleanliness, Staff Friendliness","Personalized Room Temperature, AI Concierge","Poor Wi-Fi, Lack of personalization",127,$5–$10,Yes,7,Yes,Yes
26,Female,Student,9961,Single,No,3–5,Airbnb,2–3 nights,Leisure,Yes,Very Important,Always,Yes,"Privacy, Food Quality, Technology","AI Concierge, Smart Lighting","Other, Noisy rooms",132,$5–$10,Yes,8,Yes,Yes
43,Male,Student,86926,Single,No,More than 10,Boutique,2–3 nights,Leisure,Yes,Somewhat Important,Always,No,"Ambience, Staff Friendliness","Personalized Room Temperature, Smart Lighting","Poor Wi-Fi, Long check-in times",182,$20+,Yes,9,No,Yes
26,Female,Retired,108908,Divorced,No,More than 10,Boutique,1 night,Leisure,Yes,Not Important,Sometimes,Yes,"Technology, Cleanliness, Food Quality","Smart Lighting, Smart Mirror","Noisy rooms, Long check-in times",68,$20+,No,6,Yes,Yes
35,Male,Working Professional,99278,Single,No,1–2,Luxury,2–3 nights,Other,No,Very Important,Never,Yes,Ambience,"Personalized Room Temperature, Smart Lighting, Smart Mirror","Noisy rooms, Poor Wi-Fi",79,$5–$10,Yes,7,Yes,Yes
30,Male,Working Professional,40359,Married,No,3–5,Budget,2–3 nights,Other,No,Somewhat Important,Sometimes,No,"Privacy, Cleanliness",Mood Music,Long check-in times,87,$5–$10,Yes,10,Yes,Yes
39,Female,Entrepreneur,39750,Single,No,1–2,Luxury,2–3 nights,Business,Yes,Very Important,Always,Yes,"Privacy, Ambience, Cleanliness","Smart Lighting, AI Concierge, Personalized Room Temperature","Poor Wi-Fi, Noisy rooms, Long check-in times",110,< $5,Yes,8,Yes,Yes
38,Prefer not to say,Entrepreneur,20647,Married,No,3–5,Budget,4–6 nights,Leisure,Yes,Not Important,Always,Yes,"Ambience, Staff Friendliness","Smart Mirror, Personalized Room Temperature, Mood Music","Long check-in times, Lack of personalization",130,$20+,Yes,5,Yes,Yes
45,Male,Working Professional,55837,Single,No,3–5,Luxury,1 night,Transit,Yes,Somewhat Important,Always,Yes,"Food Quality, Privacy, Cleanliness",Personalized Room Temperature,"Other, Lack of personalization",141,$10–$20,Yes,5,No,Yes
29,Male,Working Professional,30311,Single,No,More than 10,Budget,2–3 nights,Leisure,Yes,Very Important,Always,No,"Cleanliness, Ambience","Smart Lighting, Personalized Room Temperature","Poor Wi-Fi, Other",30,< $5,No,9,No,Yes
32,Female,Entrepreneur,45258,Married,No,More than 10,Luxury,4–6 nights,Other,No,Somewhat Important,Sometimes,Yes,Technology,Mood Music,Noisy rooms,179,< $5,Yes,5,Yes,Yes
25,Male,Working Professional,22376,Single,Yes,3–5,Budget,7+ nights,Leisure,Yes,Very Important,Sometimes,Yes,"Technology, Ambience",Smart Lighting,"Poor Wi-Fi, Lack of personalization",143,$10–$20,Yes,6,Yes,Yes
30,Female,Working Professional,52595,Single,No,3–5,Luxury,1 night,Other,Yes,Not Important,Sometimes,Yes,"Food Quality, Technology, Cleanliness","Smart Lighting, Smart Mirror",Lack of personalization,164,< $5,Yes,7,Yes,Yes
38,Female,Retired,69598,Single,Yes,6–10,Boutique,2–3 nights,Leisure,No,Somewhat Important,Sometimes,Yes,"Cleanliness, Ambience",Smart Mirror,"Lack of personalization, Long check-in times, Noisy rooms",30,$20+,Yes,7,Yes,Yes
42,Female,Working Professional,6333,Single,No,6–10,Airbnb,2–3 nights,Transit,No,Very Important,Always,Yes,Ambience,"Smart Mirror, AI Concierge",Poor Wi-Fi,161,$20+,Yes,10,No,Yes
25,Male,Working Professional,71573,Single,Yes,1–2,Luxury,1 night,Business,Yes,Very Important,Sometimes,Yes,"Food Quality, Privacy","Smart Mirror, Smart Lighting, Mood Music","Lack of personalization, Long check-in times, Noisy rooms",70,$20+,Yes,2,Yes,No
43,Male,Working Professional,31086,Single,No,3–5,Airbnb,2–3 nights,Transit,No,Very Important,Sometimes,Yes,"Ambience, Privacy","Smart Lighting, Mood Music",Poor Wi-Fi,97,$10–$20,Yes,8,Yes,Yes
48,Female,Student,74487,Divorced,No,3–5,Boutique,1 night,Other,Yes,Somewhat Important,Sometimes,Yes,Staff Friendliness,"AI Concierge, Smart Lighting, Mood Music","Noisy rooms, Lack of personalization",191,$5–$10,Yes,6,No,Yes
39,Female,Working Professional,22576,Single,No,1–2,Boutique,4–6 nights,Event,Yes,Very Important,Always,Yes,"Privacy, Staff Friendliness",AI Concierge,Poor Wi-Fi,152,< $5,No,10,Yes,Yes
